WASHINGTON,ADAMS,JEFFERSON,MADISON,MONROE,JACKSON,VANBUREN,HARRISON,TYLER,POLK,TAYLOR,FILLMORE,PIERCE,BUCHANAN,LINCOLN,JOHNSON,GRANT,HAYES,GARFIELD,ARTHUR,CLEVELAND,MCKINLEY,ROOSEVELT,TAFT,WILSON,HARDING,COOLIDGE,HOOVER,TRUMAN,EISENHOWER,KENNEDY,NIXON,FORD,CARTER,REAGAN,BUSH,CLINTON,OBAMA,TRUMP
E,I,G,R,U,Y,M,S,E,M,V,M,L,A,O,U,Q,O,S,K,V,D,X,F,L,J,E,R,J,R,C,Q,P,I,Q,V,W,W,Z,D
V,E,N,B,C,P,A,M,X,N,A,G,A,E,R,M,T,N,L,D,A,E,I,G,P,R,C,D,M,U,X,N,F,E,A,Q,Y,E,T,O
E,F,I,H,H,O,O,V,E,R,N,B,S,D,P,U,N,O,R,F,O,Q,I,R,T,Y,Z,D,I,J,I,O,F,X,R,X,Z,C,R,L
L,I,H,A,A,P,Z,T,T,E,B,E,O,E,A,U,Y,A,E,R,P,I,P,R,A,B,P,I,K,E,P,L,C,F,J,S,W,L,M,M
A,L,S,H,N,G,I,H,X,L,U,G,K,Y,E,Z,X,H,X,G,K,S,E,L,S,F,Q,O,F,O,G,Y,U,Y,C,N,U,A,T,B
N,X,A,E,A,O,U,E,N,Y,R,D,X,H,H,D,G,T,U,Q,C,G,B,D,B,P,Z,Y,B,J,L,N,S,O,U,V,W,Y,B,Y
D,F,W,S,N,R,I,F,R,T,E,I,C,A,R,T,E,R,W,L,W,Z,P,I,Z,O,O,P,B,X,A,E,X,Z,A,R,B,O,K,J
N,Y,H,Y,R,H,R,O,O,C,N,L,G,R,I,X,J,U,N,T,Y,B,E,L,C,J,N,A,R,T,D,B,F,P,O,G,O,C,S,E
A,C,O,T,E,T,O,I,O,O,E,O,N,D,R,O,F,M,E,D,L,D,R,T,K,W,M,J,N,W,S,J,Y,R,O,M,U,X,V,Z
N,G,H,E,N,S,O,W,S,V,N,O,T,I,H,L,A,P,G,X,P,H,V,M,B,K,A,H,T,I,O,D,X,W,D,D,C,X,K,E
M,N,Q,T,E,A,J,I,E,O,S,C,I,N,K,B,B,X,K,Y,J,F,Z,T,N,O,Y,I,U,W,Y,V,A,N,L,I,U,J,K,E
G,Z,P,V,T,T,R,L,V,R,N,I,S,G,I,C,S,H,D,W,V,A,A,C,W,D,F,L,L,T,S,D,C,W,E,O,R,A,M,I
D,L,E,I,F,R,A,G,E,H,K,O,U,K,H,L,M,Y,Q,K,U,C,M,I,X,I,J,K,A,H,U,F,J,C,D,E,W,T,W,B
G,L,Z,L,A,N,U,F,L,X,N,G,S,F,B,I,C,K,W,B,Q,Q,W,H,S,N,J,T,S,M,U,R,J,L,F,Q,H,S,Q,Z
T,P,X,H,D,Y,F,M,T,R,X,J,X,L,B,G,U,H,G,V,X,P,L,H,U,Q,R,U,X,Q,U,E,X,O,P,G,I,M,K,N
V,L,P,A,H,E,L,S,A,M,O,S,P,S,I,H,I,V,I,W,R,M,K,Y,W,Z,W,U,S,L,U,J,I,A,A,D,Y,Q,B,Q
W,Y,G,X,J,S,O,D,J,N,B,K,D,Y,B,W,P,I,H,N,F,U,J,E,P,T,L,G,T,K,Z,B,E,V,C,F,Q,W,Z,U
